radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,15500,57521559,0,-86.8036,33.5066,1000,1,1,1777048415,1777048415,0
LTE,310,410,9101,42277035,0,-85.2891,35.0474,1000,1,1,1776978769,1776978769,0
LTE,310,260,31479,16742403,0,-86.3478,32.3821,1000,1,1,1777046575,1777046575,0
LTE,310,410,15531,56696747,0,-86.4848,32.6613,1000,1,1,1777047637,1777047637,0
LTE,310,410,15493,57938913,-1,-86.9553,32.8369,1000,1,1,1777044184,1777044184,0
LTE,310,410,15495,56898056,-1,-86.937,32.8168,1000,1,1,1777044840,1777044840,0
LTE,310,410,15495,56890080,-1,-86.8973,32.7578,1052,5,1,1777045316,1777387321,0
LTE,310,410,15500,56616646,0,-86.8074,33.506,1000,1,1,1777142121,1777142121,0
LTE,310,410,15751,57720344,0,-87.0315,30.3979,1000,1,1,1777144732,1777144732,0
NR,310,260,8259072,6580363318,-1,-85.565,30.1917,1000,10,1,1777041837,1777147928,0
NR,310,260,8259072,6574235651,-1,-85.5568,30.2318,1000,17,1,1777042007,1777147928,0
NR,310,260,8259072,6562979842,-1,-85.5952,30.2611,1000,8,1,1777042587,1777147929,0
NR,310,260,8259072,6619475992,-1,-85.6039,30.2667,1000,4,1,1777042657,1777147929,0
NR,310,260,8259072,6563745813,-1,-85.6078,30.2719,1000,13,1,1777042667,1777147929,0
NR,310,260,8259072,6562979863,-1,-85.6385,30.287,1000,8,1,1777042977,1777147930,0
LTE,310,260,33537,162573590,-1,-86.0644,30.4784,1316,26,1,1777045217,1782953763,0
NR,310,260,8521472,6628257795,-1,-86.171,30.7381,1002,17,1,1777046907,1777147940,0
NR,310,260,8521472,4470042928,-1,-86.1699,30.7379,1000,6,1,1777046927,1777147940,0
NR,310,260,8521472,6493913089,-1,-86.2192,30.7461,868,36,1,1777047087,1777147940,0
LTE,310,410,15758,56826080,0,-87.2483,30.4229,1000,1,1,1777164418,1777164418,0
LTE,310,410,12034,188327360,0,-85.2053,33.6869,1000,1,1,1777111172,1777111172,0
LTE,310,410,9108,42349336,0,-85.0807,34.8942,1000,1,1,1777124321,1777124321,0
LTE,310,260,30499,42848259,0,-84.9465,34.9212,1000,1,1,1777153703,1777153703,0
LTE,310,260,30491,43930882,0,-84.9939,34.4359,1000,1,1,1777162912,1777162912,0
LTE,310,410,15510,57547544,0,-87.7252,34.7147,1000,1,1,1777163506,1777163506,0
LTE,310,260,31346,110028801,0,-86.7229,32.9764,1000,1,1,1777219542,1777219542,0
NR,310,260,8521472,6477160449,-1,-86.4328,30.4181,3528,21,1,1777304893,1778464513,0
LTE,310,410,12038,187568094,0,-84.9819,34.4898,1000,1,1,1777244282,1777244282,0
LTE,310,410,15512,57084642,0,-86.485,34.7797,1000,1,1,1777293482,1777293482,0
LTE,310,260,31344,107943426,0,-85.7352,34.9195,1000,1,1,1777303236,1777303236,0
LTE,310,410,15531,56696592,0,-86.4804,32.5898,1000,1,1,1777305127,1777305127,0
LTE,310,410,15495,56368865,-1,-86.8738,32.7796,1654,4,1,1777304774,1777387321,0
