radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,9880,199431340,-1,-80.822,35.1217,1000,18,1,1680370293,1745935571,0
LTE,310,410,9873,199549876,-1,-81.327,35.2115,2169,37,1,1680551456,1774194962,0
LTE,310,410,9873,197492405,-1,-81.3138,35.1392,3775,50,1,1680551496,1774194965,0
LTE,310,410,9876,197611955,-1,-80.6251,35.0345,2396,50,1,1680622545,1753152788,0
LTE,310,410,9876,199460803,-1,-80.6476,35.0453,1000,23,1,1680622555,1752834605,0
LTE,310,410,9869,199574210,-1,-80.6776,35.0449,2687,26,1,1680622585,1754620689,0
LTE,310,410,9876,199659971,-1,-80.6504,35.0316,3822,24,1,1680622595,1755497601,0
LTE,310,410,9876,197611957,-1,-80.6354,35.0247,2697,26,1,1680622815,1755497601,0
LTE,310,410,9869,199184557,-1,-80.8017,35.0148,1945,23,1,1680709260,1754192731,0
LTE,310,410,9869,199458455,-1,-80.7639,35.0297,1787,37,1,1680709290,1750212973,0
LTE,310,410,9869,199179670,-1,-80.7774,35.0318,1569,16,1,1680709350,1739270845,0
LTE,310,410,9880,199553429,-1,-80.7548,35.1638,1000,12,1,1680796419,1746724102,0
LTE,310,410,9877,197129992,-1,-80.5262,35.1158,2355,21,1,1680976313,1753804516,0
LTE,310,410,9876,197459464,-1,-80.538,35.0745,2446,24,1,1680977313,1751714239,0
LTE,310,260,31691,35407384,-1,-80.8892,35.1654,704,37,1,1680187682,1771588037,0
LTE,310,260,31691,35407382,-1,-80.8929,35.1546,1000,6,1,1680273882,1771588037,0
LTE,310,410,9876,197611798,-1,-80.6359,35.0411,1456,21,1,1681578078,1755784508,0
LTE,310,410,9869,197423383,-1,-80.7069,35.0771,12768,31,1,1681922843,1748825718,0
LTE,310,410,10525,20552712,-1,-82.0567,35.0737,3688,23,1,1681938118,1759102148,0
LTE,310,410,10514,23010056,-1,-82.0023,34.951,931,25,1,1681938501,1759102146,0
LTE,310,410,10514,22855178,-1,-81.9977,34.9387,1136,24,1,1681938534,1759102146,0
LTE,310,410,10514,22855177,-1,-81.9908,34.9284,1000,20,1,1681938571,1759102146,0
LTE,310,410,10514,22542344,-1,-81.9907,34.9059,1552,27,1,1681938610,1759464152,0
LTE,310,410,10514,22764552,-1,-81.9899,34.9181,1126,33,1,1681938627,1759102146,0
LTE,310,410,10514,22542358,-1,-81.9921,34.8986,1053,35,1,1681938652,1759464153,0
LTE,310,410,10514,22542359,-1,-81.9782,34.852,3497,22,1,1681938760,1759102145,0
LTE,310,410,10500,22849800,-1,-81.3092,34.1754,5313,27,1,1681942146,1759102084,0
LTE,310,410,10500,22849801,-1,-81.2553,34.153,1591,50,1,1681942476,1765686960,0
LTE,310,410,10511,22522888,-1,-81.133,34.0589,2399,23,1,1681942979,1749445610,0
LTE,310,410,10511,22522889,-1,-81.1135,34.0404,1134,41,1,1681943123,1740799755,0
LTE,310,410,10511,22503192,-1,-81.1098,34.0019,1000,20,1,1681943358,1775940387,0
LTE,310,410,10511,22495768,-1,-81.1049,33.9827,574,27,1,1681943430,1775940386,0
LTE,310,410,10511,22495767,-1,-81.0974,33.9707,2482,23,1,1681943519,1775940386,0
LTE,310,260,31702,225294860,-1,-81.0371,33.8889,11483,10,1,1682081192,1775940385,0
LTE,310,260,31721,225127189,-1,-80.6896,32.9358,12513,26,1,1682084705,1741049288,0
LTE,310,260,31721,225126155,-1,-80.6877,32.936,2718,32,1,1682084745,1752269836,0
LTE,310,260,32534,43419414,-1,-80.8841,32.3529,5686,18,1,1682091687,1741049250,0
LTE,310,260,32534,68265995,-1,-80.9125,32.3775,1945,36,1,1682100580,1763701047,0
LTE,310,260,32534,72752130,-1,-80.8874,32.4051,6264,36,1,1682100720,1752269843,0
LTE,310,260,32534,72752129,-1,-80.8947,32.4479,2065,27,1,1682100860,1752269843,0
LTE,310,410,9872,199580590,-1,-80.8592,35.1062,1907,21,1,1682085757,1752457383,0
LTE,310,410,9869,197531572,-1,-80.7916,35.0783,2105,21,1,1682090247,1740579798,0
LTE,310,410,9880,199454126,-1,-80.7965,35.157,955,44,1,1682092117,1747055343,0
LTE,310,410,9869,197220021,-1,-80.778,35.0529,1415,50,1,1682157607,1741005436,0
LTE,310,410,9869,197131699,-1,-80.7934,35.0444,736,29,1,1682157667,1739595843,0
LTE,310,410,9869,197484467,-1,-80.792,35.0695,2659,50,1,1682158257,1739595843,0
LTE,310,410,9872,199580567,-1,-80.8579,35.1052,1061,50,1,1682161337,1751123342,0
LTE,310,410,9880,199171735,-1,-80.7985,35.1738,591,40,1,1682167037,1748398566,0
LTE,310,260,31524,224585730,-1,-81.2262,33.9599,2010,27,1,1682152724,1771588387,0
LTE,310,260,31524,80689155,-1,-81.3386,33.9042,3428,25,1,1682153014,1771588389,0
LTE,310,260,31702,18756871,-1,-81.3763,33.8783,3532,44,1,1682153184,1771588390,0
LTE,310,260,31702,18756872,-1,-81.4034,33.8531,1798,36,1,1682153354,1771588392,0
LTE,310,260,30498,222267394,-1,-81.4996,33.7732,1919,50,1,1682153754,1771588403,0
LTE,310,260,30498,42922497,-1,-81.5599,33.7281,2757,36,1,1682153934,1771588405,0
LTE,310,260,30498,42922499,-1,-81.5889,33.7084,1111,47,1,1682154094,1771588405,0
LTE,310,260,30498,42928406,-1,-81.7737,33.6346,1188,26,1,1682154659,1771588114,0
LTE,310,260,30498,42928386,-1,-81.7739,33.6346,2763,27,1,1682154679,1771588411,0
LTE,310,260,30498,42928387,-1,-81.8071,33.6282,1648,50,1,1682154729,1771588412,0
LTE,310,260,30498,42844673,-1,-81.834,33.6136,8768,36,1,1682154859,1771588413,0
LTE,310,260,30498,42844675,-1,-81.8631,33.5995,2218,50,1,1682154939,1771588413,0
LTE,310,260,30498,223532289,-1,-81.8839,33.5879,1726,36,1,1682154999,1771588414,0
LTE,310,260,30498,223532321,-1,-81.902,33.5778,1216,50,1,1682155109,1771588414,0
LTE,310,260,30498,43264544,-1,-81.9119,33.5726,1312,27,1,1682155149,1771588415,0
LTE,310,260,30498,43264545,-1,-81.9356,33.5607,1139,35,1,1682155249,1771588417,0
LTE,310,260,30498,223699743,-1,-82.1975,33.4837,2343,37,1,1682156752,1777678501,0
LTE,310,260,30502,43255584,-1,-82.2322,33.4872,3457,15,1,1682156872,1777678501,0
LTE,310,260,30498,223699715,-1,-82.2325,33.4871,5690,49,1,1682156892,1777550462,0
LTE,310,260,30502,72255265,-1,-82.3146,33.4976,1278,27,1,1682157152,1777678501,0
