radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,37889,114869004,-1,-80.1951,25.7673,1000,13,1,1769869998,1771813923,0
LTE,311,480,37889,114869792,-1,-80.1936,25.7739,1000,6,1,1769957790,1773202205,0
LTE,311,480,37889,114869536,-1,-80.194,25.7728,1000,16,1,1769957811,1774842483,0
UMTS,311,480,16400,37927427,0,-80.3906,25.7941,1000,1,1,1770023703,1770023703,0
LTE,311,480,37632,37717265,-1,-82.4325,27.4459,1000,3,1,1769785468,1770159781,0
LTE,311,480,37632,37650193,-1,-82.5748,27.5337,6816,39,1,1769804817,1781205071,0
LTE,311,480,36874,37093920,-1,-82.6641,27.8702,3625,32,1,1770088716,1781205123,0
LTE,311,480,36874,36871185,-1,-82.7273,27.7885,1000,4,1,1770091442,1770159782,0
LTE,311,480,36874,36913189,-1,-82.745,27.7508,1000,1,1,1770101889,1770101889,0
LTE,311,480,36874,190610971,-1,-82.7501,27.7441,578,29,1,1770102127,1770159785,0
LTE,311,480,36874,36872219,-1,-82.7429,27.7287,1000,6,1,1770102540,1770159785,0
LTE,311,480,36874,37052689,-1,-82.7386,27.7163,1000,14,1,1770102606,1770159785,0
LTE,311,480,36874,37011217,-1,-82.7531,27.7495,1000,2,1,1770104284,1770159785,0
NR,311,480,9765120,24539807802,-1,-81.8252,26.5469,1000,2,1,1769318025,1770159785,0
NR,311,480,9437450,23712530475,-1,-82.6946,27.8489,1000,16,1,1769382148,1770645061,0
NR,311,480,9437450,23722360874,-1,-82.5767,27.8815,2381,5,1,1769739874,1772546221,0
NR,311,480,9634048,24204623914,-1,-82.4274,27.4352,1000,3,1,1769784618,1770159785,0
NR,311,480,9634048,24241291300,-1,-82.4322,27.445,1000,1,1,1769785422,1769785422,0
NR,311,480,9634048,24200495130,-1,-82.5416,27.5855,2027,16,1,1769804339,1770159785,0
NR,311,480,9634048,24200495131,-1,-82.5288,27.5858,1000,8,1,1769804349,1770159785,0
NR,311,480,9634048,24200495162,-1,-82.5625,27.5826,1000,10,1,1769804479,1770159785,0
NR,311,480,9634048,24209309754,-1,-82.5914,27.5828,2311,2,1,1769804529,1772081821,0
NR,311,480,9437450,23719821338,-1,-82.6628,27.7992,1000,1,1,1770088983,1770088983,0
NR,311,480,9437450,23719821354,-1,-82.6672,27.7947,1000,10,1,1770088993,1771440723,0
NR,311,480,9437450,23711023130,-1,-82.6609,27.7862,1079,26,1,1770088998,1771440723,0
NR,311,480,9437450,23711023162,-1,-82.6675,27.7775,1310,28,1,1770089064,1771440723,0
NR,311,480,9437450,23711023146,-1,-82.6556,27.7746,1067,26,1,1770089079,1771440723,0
NR,311,480,9437450,23719804954,-1,-82.6429,27.7766,1000,20,1,1770089119,1770159786,0
NR,311,480,9437450,23710761018,-1,-82.637,27.7766,500,26,1,1770089180,1770159786,0
NR,311,480,9437450,23710761002,-1,-82.634,27.7745,1000,5,1,1770089246,1770159786,0
NR,311,480,9437450,23719804986,-1,-82.6547,27.7761,1000,2,1,1770089754,1771440723,0
NR,311,480,9437450,23711023156,-1,-82.6865,27.7773,1000,2,1,1770090124,1770159786,0
NR,311,480,9437450,23708123172,-1,-82.6895,27.7775,1000,6,1,1770090134,1776766621,0
NR,311,480,9437450,23710662676,-1,-82.6987,27.7773,1000,7,1,1770090159,1770159786,0
NR,311,480,9437450,23708123188,-1,-82.702,27.7773,1000,11,1,1770090169,1770159786,0
NR,311,480,9437450,23708106778,-1,-82.7251,27.7891,1000,7,1,1770092054,1770159786,0
NR,311,480,9437450,23712530452,-1,-82.6971,27.8502,1000,1,1,1770168321,1770168321,0
NR,311,480,9437450,23711023131,-1,-82.661,27.7943,1000,6,1,1770262338,1771440723,0
NR,311,480,9437450,23719821352,-1,-82.66,27.7914,1000,2,1,1770262343,1770637982,0
NR,311,480,9437450,23719821348,-1,-82.6643,27.7921,1000,10,1,1770262469,1770637982,0
NR,311,480,9437450,23711023124,-1,-82.6631,27.7921,1000,1,1,1770262494,1770262494,0
NR,311,480,9437450,23719821355,-1,-82.6657,27.7941,1000,10,1,1770262609,1771440723,0
